#       time         integral Re         integral Im
#       r =            40.000000           40.000000
   0.0000000   -4.4079581426e-16    6.4993639207e-17
   0.5000000   -1.1331354633e-16   -3.9933155593e-18
   1.0000000    1.8887496014e-16   -9.6690215608e-17
   1.5000000    1.9882340651e-16   -7.6155936914e-17
   2.0000000   -3.3820790646e-16   -1.2295429847e-16
   2.5000000   -4.0522577193e-17   -1.4270830784e-16
   3.0000000    5.5596037969e-16   -1.5040168241e-16
   3.5000000    4.7011745097e-16   -7.4865528239e-17
   4.0000000   -8.2290945635e-17    2.7580785454e-16
   4.5000000   -6.5359828470e-16    5.6316751470e-16
   5.0000000    3.4403205400e-17    1.6280873811e-16
   5.5000000    1.1080360838e-16   -5.4158860400e-16
   6.0000000    3.5286622283e-16   -2.7261425633e-16
   6.5000000    3.8621448737e-16   -6.1975494536e-16
   7.0000000   -2.2766715703e-17   -3.0158815941e-16
   7.5000000    6.5408410553e-16   -2.7921419910e-16
   8.0000000   -5.2209122583e-17   -2.7218174304e-16
   8.5000000   -1.8323261089e-16    6.6164615895e-16
   9.0000000    3.5507859994e-16    6.7282009369e-16
   9.5000000   -1.9345371781e-16    4.7295415647e-17
  10.0000000    2.6951250261e-16   -4.0762599175e-16
  10.5000000    4.3460250162e-16    1.6562204219e-16
  11.0000000    1.7469635581e-16   -9.8049500463e-17
  11.5000000    7.5606394706e-17   -7.3553305826e-17
  12.0000000    6.4669735185e-17    1.0310064843e-16
  12.5000000    5.9325787895e-16    2.6597479164e-16
  13.0000000    3.9131240605e-16    1.3829859614e-16
  13.5000000    7.2822061511e-17    3.0270348920e-16
  14.0000000    2.4124211334e-16    1.1986471887e-16
  14.5000000   -4.6095856350e-16    5.9392412055e-16
  15.0000000   -1.4348969497e-15    9.6261916426e-16
  15.5000000    4.8220118849e-16   -4.3917548937e-18
  16.0000000    3.7840755093e-15   -3.9221703780e-15
  16.5000000    5.5146855765e-15   -1.1810419727e-14
  17.0000000    4.9923354410e-15   -1.1867513933e-14
  17.5000000   -6.6639608685e-18    1.9942893907e-14
  18.0000000   -3.4897475121e-14    6.3836752970e-14
  18.5000000   -1.0234839476e-13    4.9136221253e-14
  19.0000000   -5.2916357528e-14    2.3323368529e-14
  19.5000000    3.7406458795e-13    6.2513985322e-14
  20.0000000    9.1046855347e-13   -3.3470194804e-13
  20.5000000    5.0581689097e-14   -1.4045601452e-12
