#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    2.5600000000e+02    2.6210679000e+02    0.0000000000e+00    2.5600000000e+02    2.4989321000e+02    0.0000000000e+00
   2.0000000    2.5589485208e+02    2.6210476746e+02    0.0000000000e+00    2.5610514792e+02    2.4989523254e+02    0.0000000000e+00
   4.0000000    2.5569563795e+02    2.6209478906e+02    0.0000000000e+00    2.5630436202e+02    2.4990521087e+02    0.0000000000e+00
   6.0000000    2.5549206248e+02    2.6207759538e+02    0.0000000000e+00    2.5650793731e+02    2.4992240474e+02    0.0000000000e+00
   8.0000000    2.5529080361e+02    2.6205338103e+02    0.0000000000e+00    2.5670919644e+02    2.4994661958e+02    0.0000000000e+00
  10.0000000    2.5508578875e+02    2.6202179464e+02    0.0000000000e+00    2.5691421168e+02    2.4997820634e+02    0.0000000000e+00
  12.0000000    2.5487333159e+02    2.6198417748e+02    0.0000000000e+00    2.5712666835e+02    2.5001582410e+02    0.0000000000e+00
  14.0000000    2.5465338994e+02    2.6194672156e+02    0.0000000000e+00    2.5734660892e+02    2.5005327999e+02    0.0000000000e+00
  16.0000000    2.5443001635e+02    2.6189523987e+02    0.0000000000e+00    2.5756998388e+02    2.5010476161e+02    0.0000000000e+00
  18.0000000    2.5420931484e+02    2.6182454697e+02    0.0000000000e+00    2.5779068810e+02    2.5017545515e+02    0.0000000000e+00
  20.0000000    2.5399108008e+02    2.6174556413e+02    0.0000000000e+00    2.5800892522e+02    2.5025443854e+02    0.0000000000e+00
  22.0000000    2.5377372203e+02    2.6165909064e+02    0.0000000000e+00    2.5822628519e+02    2.5034091231e+02    0.0000000000e+00
  24.0000000    2.5355710587e+02    2.6156398549e+02    0.0000000000e+00    2.5844290288e+02    2.5043601754e+02    0.0000000000e+00
  26.0000000    2.5334234706e+02    2.6145923932e+02    0.0000000000e+00    2.5865766459e+02    2.5054076421e+02    0.0000000000e+00
  28.0000000    2.5313053807e+02    2.6134499560e+02    0.0000000000e+00    2.5886947676e+02    2.5065500824e+02    0.0000000000e+00
  30.0000000    2.5292240568e+02    2.6122176399e+02    0.0000000000e+00    2.5907761327e+02    2.5077824015e+02    0.0000000000e+00
  32.0000000    2.5271864109e+02    2.6108917537e+02    0.0000000000e+00    2.5928138179e+02    2.5091082974e+02    0.0000000000e+00
  34.0000000    2.5251933547e+02    2.6094824886e+02    0.0000000000e+00    2.5948069026e+02    2.5105175741e+02    0.0000000000e+00
  36.0000000    2.5232478404e+02    2.6079904696e+02    0.0000000000e+00    2.5967524508e+02    2.5120096031e+02    0.0000000000e+00
  38.0000000    2.5213567675e+02    2.6064148122e+02    0.0000000000e+00    2.5986435595e+02    2.5135852722e+02    0.0000000000e+00
  40.0000000    2.5195248956e+02    2.6047582989e+02    0.0000000000e+00    2.6004754780e+02    2.5152417972e+02    0.0000000000e+00
  42.0000000    2.5177564939e+02    2.6030243830e+02    0.0000000000e+00    2.6022439171e+02    2.5169757275e+02    0.0000000000e+00
  44.0000000    2.5160548706e+02    2.6012153972e+02    0.0000000000e+00    2.6039455680e+02    2.5187847355e+02    0.0000000000e+00
  46.0000000    2.5144234700e+02    2.5993346624e+02    0.0000000000e+00    2.6055770026e+02    2.5206654832e+02    0.0000000000e+00
  48.0000000    2.5128672493e+02    2.5973857928e+02    0.0000000000e+00    2.6071332567e+02    2.5226143642e+02    0.0000000000e+00
  50.0000000    2.5113872197e+02    2.5953707295e+02    0.0000000000e+00    2.6086133226e+02    2.5246294455e+02    0.0000000000e+00
  52.0000000    2.5099876392e+02    2.5932930566e+02    0.0000000000e+00    2.6100129351e+02    2.5267071434e+02    0.0000000000e+00
  54.0000000    2.5086737413e+02    2.5911568784e+02    0.0000000000e+00    2.6113268637e+02    2.5288433502e+02    0.0000000000e+00
