#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
   0.0000000    0.0000000000e+00    1.2567588187e+01    5.0002422231e-01    5.0002422226e-01    1.4817933962e-05    1.4050883254e-10   -2.5342132567e-08   -2.9634421460e-05    0.0000000000e+00    8.4121750422e-02   -8.4120201304e-02   -5.1051459775e-04   -1.1815650832e-06    2.5600000000e+02    2.6210679000e+02    0.0000000000e+00    2.5600536426e+02    2.6210691064e+02   -5.1639248433e-14
   2.0000000    1.0000000000e+00    1.2569343146e+01    5.0005913382e-01    5.0005913314e-01    5.2403248833e-05   -8.4789620399e-07    1.4555380468e-05   -1.0377488225e-04    0.0000000000e+00    8.2726763294e-02   -8.2689405407e-02   -2.4858796523e-03   -1.0113601582e-06    2.5589485208e+02    2.6210476746e+02    0.0000000000e+00    2.5590654959e+02    2.6210540577e+02   -7.4068529088e-13
   4.0000000    2.0000000000e+00    1.2566262858e+01    4.9999785834e-01    4.9999785625e-01    9.1506216974e-05   -3.0193098057e-06    2.7998448231e-05   -1.8083364890e-04    0.0000000000e+00    8.5366794207e-02   -8.5159850659e-02   -5.9404872267e-03   -5.7406693540e-07    2.5569563795e+02    2.6209478906e+02    0.0000000000e+00    2.5571266563e+02    2.6209651448e+02   -1.0055845046e-13
   6.0000000    3.0000000000e+00    1.2558006182e+01    4.9983356800e-01    4.9983356720e-01    5.6725022420e-05   -3.7989653186e-06    3.0490887370e-05   -1.0924906924e-04    0.0000000000e+00    8.0881109364e-02   -8.0418467574e-02   -8.6385140432e-03   -4.0242398170e-07    2.5549206248e+02    2.6207759538e+02    0.0000000000e+00    2.5551109306e+02    2.6207976185e+02   -7.9880546622e-14
   8.0000000    4.0000000000e+00    1.2550110176e+01    4.9967640446e-01    4.9967640414e-01    3.5469266684e-05   -4.6311471526e-06    2.8584444517e-05   -6.4809548221e-05    0.0000000000e+00    8.0023256298e-02   -7.9214840316e-02   -1.1345951797e-02   -3.4545066566e-07    2.5529080361e+02    2.6205338103e+02    0.0000000000e+00    2.5530906524e+02    2.6205606512e+02   -3.4278135885e-14
  10.0000000    5.0000000000e+00    1.2542705933e+01    4.9952898437e-01    4.9952898426e-01    2.0678666568e-05   -5.4522745376e-06    2.8437481419e-05   -2.9584429546e-05    0.0000000000e+00    8.0376416124e-02   -7.9131200761e-02   -1.4093308162e-02   -2.8080917801e-07    2.5508578875e+02    2.6202179464e+02    0.0000000000e+00    2.5510396215e+02    2.6202499777e+02    2.0566881531e-14
  12.0000000    6.0000000000e+00    1.2536736683e+01    4.9941010393e-01    4.9941010368e-01    3.1444411339e-05   -6.0443350111e-06    2.9251550233e-05   -5.5427119241e-05    0.0000000000e+00    8.1148876642e-02   -7.9785732022e-02   -1.4811385684e-02   -2.3926278559e-07    2.5487333159e+02    2.6198417748e+02    0.0000000000e+00    2.5489183818e+02    2.6198793692e+02   -1.4044321262e-14
  14.0000000    7.0000000000e+00    1.2532816391e+01    4.9933201434e-01    4.9933201373e-01    4.9421825619e-05   -4.2881395701e-06    2.9831589473e-05    9.4275728504e-05    0.0000000000e+00    8.1183293620e-02   -7.9956845046e-02   -1.4058097074e-02   -2.0048957899e-07    2.5465338994e+02    2.6194672156e+02    0.0000000000e+00    2.5467201278e+02    2.6194925569e+02    2.2093438190e-14
  16.0000000    8.0000000000e+00    1.2530983968e+01    4.9929550883e-01    4.9929550872e-01    2.0966712587e-05   -7.9867700307e-06    2.9730642083e-05    2.8560080675e-05    0.0000000000e+00    8.1145285705e-02   -7.8513287084e-02   -2.0499296165e-02   -1.7149202791e-07    2.5443001635e+02    2.6189523987e+02    0.0000000000e+00    2.5444879139e+02    2.6189992969e+02    1.2388146065e-12
  18.0000000    9.0000000000e+00    1.2530494754e+01    4.9928576236e-01    4.9928576230e-01    1.5529182165e-05   -1.1791529622e-05    2.8780904671e-05    5.6071339297e-08    0.0000000000e+00    8.1481295572e-02   -7.6200922719e-02   -2.8855171199e-02   -1.8237501466e-07    2.5420931484e+02    2.6182454697e+02    0.0000000000e+00    2.5422764106e+02    2.6183159248e+02   -4.4131365229e-15
